"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Marsh, Brandon",669016,2026,76,22.4,3.9,".306",".324",46.4,5.4,46.4,"100.2148675","94.531003929",22.5,51.3
"Murakami, Munetaka",808959,2026,93,33.3,21.5,".395",".416",35.7,26.2,61.9,"106.229607619","98.834370976",41.7,38.5
"Naylor, Josh",647304,2026,95,16.8,8.4,".239",".294",31.4,5.7,34.3,"97.428272286","92.949378261",21.8,58.8
"Meidroth, Chase",805367,2026,88,20.5,10.2,".314",".321",31.7,5,45,"98.963900345","94.018416491",18.8,36.7
"Tovar, Ezequiel",678662,2026,89,29.2,3.4,".274",".316",49.2,10.2,45.8,"100.624508667","94.760864407",29.7,62.8
"Walker, Christian",572233,2026,98,17.3,12.2,".392",".357",32.4,13.2,50,"102.260248529","95.613140294",27.9,48
"Albies, Ozzie",645277,2026,98,14.3,7.1,".350",".283",34.2,2.6,30.3,"96.785717632","92.392858816",24.3,53.4
"Rodríguez, Julio",677594,2026,103,25.2,10.7,".285",".309",29.7,6.3,39.1,"100.897984688","94.624434531",33.3,51.7
"Arraez, Luis",650333,2026,90,4.4,5.6,".315",".298",30.9,0,17.3,"93.29076375","90.689775063",8.3,47.5
"Muncy, Max",691777,2026,88,35.2,4.5,".329",".321",40,14,60,"104.5641272","97.5910246",34.5,51.4
"Alonso, Pete",624413,2026,101,28.7,13.9,".301",".308",29.8,7,56.1,"102.303093793","96.73127386",30.2,41.2
"Lee, Jung Hoo",808982,2026,87,14.9,8,".295",".314",34.3,1.5,40.3,"98.060335588","93.396254627",15.4,41.8
"Arozarena, Randy",668227,2026,101,19.8,11.9,".364",".361",31.8,9.1,37.9,"100.103796667","94.483642273",28,45
"Soler, Jorge",624585,2026,87,35.6,11.5,".358",".322",36.4,13.6,43.2,"101.441478636","94.720739318",38.7,45.9
"Perdomo, Geraldo",672695,2026,85,10.6,12.9,".297",".301",27.7,3.1,26.2,"96.829660323","92.554093279",11.2,41
"Torkelson, Spencer",679529,2026,82,29.3,17.1,".277",".324",41.9,7,44.2,"99.567028182","94.296739302",26.8,37.3
"Wilson, Jacob",805779,2026,96,12.5,1,".280",".272",30.1,2.4,34.9,"96.823585854","92.505717037",15.1,59
"Stewart, Sal",701398,2026,98,18.4,14.3,".438",".419",39.4,22.7,48.5,"103.055794545","95.951425538",24.6,48.1
"Rocchio, Brayan",677587,2026,83,10.8,12,".383",".360",32.3,3.2,30.6,"97.702370333","92.9096615",23.6,47.3
"Mullins, Cedric",656775,2026,83,21.7,3.6,".216",".213",23.7,3.4,32.2,"97.320749643","92.739577679",21.3,51.7
"Bregman, Alex",608324,2026,101,15.8,9.9,".303",".302",24,5.3,46.7,"100.009003514","94.569137973",15.7,37.4
"Cronenworth, Jake",630105,2026,78,21.8,12.8,".237",".320",28,6,36,"99.687388333","93.843694167",26.6,44.4
"Henderson, Gunnar",683002,2026,110,30,10,".327",".315",30.8,10.8,53.8,"100.866741212","95.478302462",28.5,46.6
"Semien, Marcus",543760,2026,86,19.8,7,".278",".303",35.5,6.5,35.5,"97.727889667","92.870074",24.7,51.2
"Abrams, CJ",682928,2026,95,13.7,11.6,".440",".420",35.4,13.8,49.2,"101.540098788","95.217255385",28.2,49.1
"Contreras, William",661388,2026,84,11.9,13.1,".382",".354",23.8,6.3,46,"101.775559688","95.334826667",18.1,43.5
"Lowe, Brandon",664040,2026,88,20.5,13.6,".424",".371",33.3,12.3,40.4,"99.627834138","93.966441754",36.4,46.8
"Anthony, Roman",701350,2026,93,25.8,16.1,".327",".358",41.5,11.3,47.2,"102.851899231","96.209045769",30.8,36.8
"Perez, Salvador",521692,2026,91,22,4.4,".231",".279",28.8,10.6,39.4,"100.372126667","94.28993197",26.9,56.8
"Story, Trevor",596115,2026,98,33.7,4.1,".239",".251",34.4,4.9,45.9,"99.651352258","94.208528361",31.3,55.6
